time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2023/04/21/09:42:02.342058,11274,1682088067,281931008,map,116.96088409423828,-209.4349822998047,79.86869049072266,-0.24068168181261895,-0.2516155937432432,0.7111404611283508,0.6107710815374012
2023/04/21/09:42:02.342152,11275,1682088067,323931008,map,117.17179107666016,-209.08055114746094,79.82283020019531,-0.24006391108784797,-0.2502045837680938,0.7144843552107126,0.6076835245876826
2023/04/21/09:42:02.342241,11276,1682088067,353032384,map,117.32994842529297,-208.78895568847656,79.78683471679688,-0.2504445748382322,-0.24085651780622652,0.7202864695008285,0.600377442155304
2023/04/21/09:42:02.342330,11277,1682088067,385032384,map,117.46886444091797,-208.51942443847656,79.75408935546875,-0.26064203677485165,-0.23266065185223792,0.7226373732955617,0.5964311115570395
2023/04/21/09:42:02.342417,11278,1682088067,424032384,map,117.64464569091797,-208.1573486328125,79.70692443847656,-0.2873892948015265,-0.20926335178575442,0.7269858059020443,0.5874588324941237
2023/04/21/09:42:02.342541,11279,1682088067,454142976,map,117.7835922241211,-207.86204528808594,79.66417694091797,-0.31715272223616564,-0.18534295269442308,0.7319371597131874,0.5738729381222508
2023/04/21/09:42:02.342631,11280,1682088067,481142976,map,117.91447448730469,-207.5922393798828,79.62096405029297,-0.32682300052562646,-0.177679538743657,0.7347240726557657,0.5672719039768306
2023/04/21/09:42:02.342715,11281,1682088067,521142976,map,118.08306121826172,-207.22982788085938,79.55304718017578,-0.3442530773400417,-0.16351622201047267,0.7478111116603077,0.5436274165950977
2023/04/21/09:42:02.342839,11282,1682088067,556245376,map,118.21395111083984,-206.93287658691406,79.48926544189453,-0.3445898728064922,-0.1614175196888727,0.7626493100736287,0.523037522059192
2023/04/21/09:42:02.342860,11283,1682088067,581245376,map,118.33052825927734,-206.6587371826172,79.42504119873047,-0.3396108443209457,-0.16429620212572738,0.7724321625954621,0.5109009366354191
2023/04/21/09:42:02.342928,11284,1682088067,624245376,map,118.4751968383789,-206.29258728027344,79.33524322509766,-0.31799435792243574,-0.1798578301203137,0.7954554686504172,0.4835096154944921
2023/04/21/09:42:02.343015,11285,1682088067,653245376,map,118.58064270019531,-205.99468994140625,79.26078033447266,-0.29658946977687484,-0.19769709488185305,0.8108563485647831,0.46417963777454685
2023/04/21/09:42:02.343101,11286,1682088067,684245376,map,118.67850494384766,-205.73594665527344,79.20075988769531,-0.2809534578630227,-0.21147847687383164,0.8196413955215452,0.45225001445038676
2023/04/21/09:42:02.343185,11287,1682088067,725245376,map,118.79239654541016,-205.3818817138672,79.1219711303711,-0.25766452392950584,-0.23362008929718497,0.829626068227473,0.4367507637915965
2023/04/21/09:42:02.343270,11288,1682088067,751245376,map,118.861328125,-205.1243896484375,79.06846618652344,-0.23658808880856838,-0.25502451119323427,0.8352065638514065,0.4259326793032143
2023/04/21/09:42:02.343352,11289,1682088067,783245376,map,118.92030334472656,-204.84640502929688,79.01468658447266,-0.22657633016702725,-0.2631903221636953,0.8372906622899974,0.4223014543494855
2023/04/21/09:42:02.343435,11290,1682088067,821245376,map,118.97335815429688,-204.50982666015625,78.95793151855469,-0.2065895451795112,-0.27384756505853686,0.8414960748344145,0.41738797475008543
2023/04/21/09:42:02.343521,11291,1682088067,862245376,map,119.0130386352539,-204.16204833984375,78.90666961669922,-0.18790765164658377,-0.2744788906049156,0.8481378491772764,0.4123278030444432
2023/04/21/09:42:02.343650,11292,1682088067,882245376,map,119.0285873413086,-204.00311279296875,78.88502502441406,-0.18667064164278901,-0.27382932337566573,0.8488309962478866,0.41189529208502446
2023/04/21/09:42:02.343667,11293,1682088067,922245376,map,119.04792022705078,-203.6884002685547,78.84355926513672,-0.18657938844740687,-0.2633389780496603,0.8544524164617241,0.4071262497354712
2023/04/21/09:42:02.343739,11294,1682088067,952345216,map,119.05335235595703,-203.45428466796875,78.81106567382812,-0.20166841329292845,-0.2522398689121195,0.8567328559941031,0.4021366107808121
2023/04/21/09:42:02.343829,11295,1682088067,985345216,map,119.05064392089844,-203.20144653320312,78.77374267578125,-0.21091964654106968,-0.24700632614512774,0.8569926702417485,0.40008066643702633
2023/04/21/09:42:02.343913,11296,1682088068,25345216,map,119.03994750976562,-202.89259338378906,78.72289276123047,-0.24569884397644481,-0.22871687245539737,0.8562414026670417,0.3926467631498264
2023/04/21/09:42:02.344005,11297,1682088068,52445568,map,119.02705383300781,-202.66128540039062,78.67803955078125,-0.27443356957187626,-0.2136116790251158,0.8558208192657515,0.3829192283666635
2023/04/21/09:42:02.344096,11298,1682088068,86445568,map,119.010009765625,-202.41378784179688,78.62249755859375,-0.2841307928684257,-0.20984843697096067,0.8566672754978201,0.3759714257567639
2023/04/21/09:42:02.344244,11299,1682088068,122445568,map,118.98553466796875,-202.1102294921875,78.54196166992188,-0.290794375571214,-0.2092260149463298,0.8615758449893687,0.3596527771426492
2023/04/21/09:42:02.344334,11300,1682088068,155548480,map,118.96300506591797,-201.88352966308594,78.47496795654297,-0.2805305037015038,-0.2178989275784508,0.8704535728660063,0.3407832958895338
2023/04/21/09:42:02.344601,11301,1682088068,181548480,map,118.93560028076172,-201.65855407714844,78.4032211303711,-0.2690371213328558,-0.2245886228880697,0.8759770016570559,0.33142635834532724
2023/04/21/09:42:02.344744,11302,1682088068,215548480,map,118.89801788330078,-201.4179229736328,78.32506561279297,-0.2375987847238388,-0.23603152518600282,0.8880591754994012,0.3149395859525025
2023/04/21/09:42:02.344775,11303,1682088068,253548480,map,118.8381576538086,-201.12823486328125,78.22952270507812,-0.19830415174602367,-0.23672499757759993,0.9011108532980425,0.3043617595740566
